,0
0,3.0
1,3.0
2,3.5
3,4.5
4,2.0
5,2.0
6,1.0
7,5.0
8,3.0
9,2.5
10,3.0
11,6.5
12,1.5
13,3.0
14,5.5
15,2.5
16,8.5
17,5.5
18,2.0
19,13.5
20,4.5
21,3.5
22,4.5
23,3.0
24,3.5
25,6.5
26,5.5
27,5.0
28,1.5
29,3.5
30,6.0
31,13.5
32,3.5
33,3.5
34,13.5
35,5.0
36,3.5
37,6.5
38,3.0
39,3.0
40,5.5
41,3.5
42,3.5
43,6.0
44,4.0
45,3.5
46,5.5
47,2.5
48,5.0
49,3.0
50,5.0
51,2.5
52,6.0
53,4.0
54,8.5
55,2.5
56,13.5
57,3.5
58,4.5
59,3.0
60,4.0
61,1.5
62,5.0
63,3.5
64,13.5
65,4.0
66,4.0
67,1.0
68,4.0
69,1.5
70,3.0
71,8.0
72,4.0
73,4.0
74,4.0
75,3.5
76,4.0
77,4.0
78,7.5
79,4.0
80,13.5
81,6.0
82,13.5
83,7.5
84,4.5
85,3.0
86,4.5
87,2.0
88,2.0
89,2.0
90,2.5
91,4.0
92,2.5
93,3.5
94,4.5
95,7.5
96,4.0
97,13.5
98,7.5
99,2.5
100,5.5
101,3.0
102,4.5
103,4.5
104,3.0
105,4.0
106,4.0
107,2.0
108,3.0
109,5.0
110,13.5
111,3.5
112,3.0
113,5.0
114,13.5
115,10.0
116,5.5
117,4.5
118,6.5
119,6.5
120,2.0
121,8.0
122,3.5
123,9.0
124,13.5
125,5.0
126,5.0
127,6.0
128,7.5
129,2.0
130,3.5
131,3.0
132,3.0
133,5.0
134,4.0
135,4.5
136,4.0
137,13.5
138,4.5
139,6.0
140,13.5
141,2.5
142,10.5
143,3.0
144,3.0
145,3.0
146,2.0
147,5.5
148,4.5
149,2.5
150,13.5
151,3.5
152,5.0
153,2.5
154,9.5
155,5.0
156,2.5
157,5.0
158,10.5
159,3.5
160,1.0
161,5.5
162,3.0
163,13.5
164,2.0
165,1.0
166,2.5
167,6.0
168,3.0
169,1.5
170,10.0
171,9.5
172,6.0
173,9.0
174,5.0
175,13.5
176,2.0
177,5.0
178,4.0
179,13.5
180,3.0
181,5.0
182,2.5
183,3.5
184,5.0
185,10.0
186,5.5
187,3.5
188,1.0
189,4.0
190,7.0
191,9.5
192,8.0
193,3.5
194,3.5
195,13.5
196,3.0
197,3.5
198,5.0
199,7.5
200,4.0
201,3.5
202,5.5
203,3.0
204,10.0
205,4.5
206,5.0
207,0.0
208,8.0
209,10.0
210,10.5
211,3.0
212,4.5
213,3.0
214,4.0
215,3.5
216,3.0
217,9.5
218,5.0
219,2.0
220,2.0
221,4.0
222,4.5
223,3.5
224,1.5
225,3.0
226,6.5
227,4.5
228,4.0
229,4.0
230,9.5
231,2.0
232,3.5
233,4.0
234,4.5
235,7.5
236,4.5
237,6.0
238,5.0
239,13.5
240,3.0
241,6.0
242,5.0
243,3.5
244,4.5
245,3.0
246,0.5
247,4.0
248,5.0
249,13.5
250,7.5
251,3.5
252,9.0
253,4.0
254,2.0
255,5.5
256,3.0
257,4.5
258,2.0
259,5.0
260,4.0
261,2.5
262,4.0
263,13.5
264,6.5
265,10.5
266,5.0
267,0.0
268,7.0
269,3.5
270,2.5
271,9.0
272,5.0
273,2.5
274,3.0
275,4.0
276,9.0
277,4.0
278,3.5
279,4.0
280,3.5
281,9.5
282,5.0
283,3.5
284,9.5
285,2.0
286,13.5
287,1.5
288,4.0
289,3.0
290,9.0
291,7.5
292,5.5
293,5.0
294,5.0
295,4.0
296,5.0
297,3.5
298,3.5
299,4.0
300,13.5
301,3.5
302,5.0
303,8.5
304,2.0
305,5.0
306,2.0
307,4.0
308,13.5
309,4.0
310,5.5
311,5.5
312,2.0
313,1.0
314,3.0
315,13.5
316,3.0
317,3.5
318,2.0
319,0.0
320,3.0
321,3.5
322,5.0
323,3.5
324,13.5
325,6.0
326,13.5
327,7.5
328,6.5
329,13.5
330,5.5
331,7.0
332,3.5
333,13.5
334,6.5
335,3.5
336,5.5
337,3.5
338,2.5
339,4.5
340,3.5
341,3.0
342,3.0
343,5.5
344,4.0
345,8.5
346,3.0
347,13.5
348,2.5
349,5.5
350,3.5
351,2.0
352,13.5
353,13.5
354,8.0
355,4.0
356,4.5
357,4.5
358,8.0
359,6.5
360,2.5
361,10.5
362,3.5
363,4.0
364,3.0
365,4.0
366,5.5
367,5.0
368,8.5
369,2.5
370,13.5
371,13.5
372,6.0
373,4.0
374,6.5
375,3.0
376,13.5
377,7.0
378,2.5
379,4.0
380,3.0
381,9.5
382,13.5
383,1.5
384,6.5
385,2.0
386,13.5
387,4.0
388,4.5
389,4.0
390,5.5
391,8.5
392,13.5
393,2.5
394,5.5
395,6.0
396,3.5
397,4.5
398,13.5
399,4.5
400,4.0
401,5.5
402,4.0
403,2.5
404,3.0
405,3.5
406,3.5
407,3.0
408,3.5
409,2.5
410,5.0
411,3.0
412,3.0
413,10.0
414,3.5
415,4.0
416,3.5
417,2.0
418,2.5
419,4.0
420,3.0
421,13.5
422,3.5
423,5.0
424,4.0
425,3.0
426,2.5
427,0.0
428,3.0
429,4.0
430,4.5
431,13.5
432,4.0
433,3.5
434,2.5
435,3.0
436,6.0
437,4.0
438,2.5
439,3.5
440,3.5
441,6.0
442,4.5
443,5.5
444,2.0
445,4.0
446,4.0
447,4.5
448,6.0
449,13.5
450,6.0
451,4.0
452,2.0
453,3.0
454,2.5
455,10.0
456,3.0
457,2.5
458,8.5
459,5.0
460,3.0
461,3.0
462,2.5
463,4.0
464,5.0
465,4.0
466,3.5
467,13.5
468,4.5
469,5.0
470,4.0
471,9.5
472,3.0
473,4.0
474,1.0
475,6.5
476,13.5
477,1.5
478,10.0
479,5.0
480,4.0
481,2.5
482,13.5
483,3.0
484,6.0
485,2.5
486,1.5
487,4.0
488,3.0
489,9.5
490,5.0
491,3.5
492,5.0
493,3.5
494,13.5
495,3.0
496,4.5
497,2.0
498,4.5
499,4.0
500,3.0
501,5.0
502,1.5
503,13.5
504,3.5
505,3.0
506,9.5
507,10.0
508,4.5
509,5.5
510,3.0
511,2.0
512,4.0
513,5.5
514,3.0
515,6.0
516,4.0
517,4.0
518,4.0
519,3.0
520,4.0
521,5.0
522,4.0
523,13.5
524,2.5
525,3.0
526,13.5
527,1.5
528,5.0
529,4.0
530,13.5
531,1.5
532,3.0
533,3.5
534,4.0
535,3.5
536,4.0
537,4.0
538,3.5
539,4.5
540,3.5
541,6.0
542,4.5
543,3.0
544,3.0
545,10.5
546,4.5
547,1.0
548,13.5
549,4.5
550,2.5
551,3.0
552,6.5
